date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:30	0/0	---M--	200	added ('OK')	text/plain	date:Sat,%2030%20Mar%202019%2012:20:42%20GMT	https://ww2.5movierulz.pe/robots.txt		(from )
22:21:30	47200/47200	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jan%202023%2016:51:31%20GMT	https://ww2.5movierulz.pe/	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/index.html	(from )
22:21:31	30335/30335	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202020%2011:11:30%20GMT	https://ww2.5movierulz.pe/wp-content/themes/parament/style.css	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/themes/parament/style.css	(from https://ww2.5movierulz.pe/)
22:21:31	8665/8665	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jan%202023%2003:50:05%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2023/01/Veera-Simha-Reddy-Trailer-Poster.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2023/01/Veera-Simha-Reddy-Trailer-Poster.jpg	(from https://ww2.5movierulz.pe/)
22:21:32	8760/8760	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jan%202023%2003:56:03%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2023/01/Waltair-Veerayya-Trailer-Poster.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2023/01/Waltair-Veerayya-Trailer-Poster.jpg	(from https://ww2.5movierulz.pe/)
22:21:32	9354/9354	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Dec%202022%2008:42:54%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2022/12/HIT-2-The-2nd-Case-Telugu-Poster.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2022/12/HIT-2-The-2nd-Case-Telugu-Poster.jpg	(from https://ww2.5movierulz.pe/)
22:21:33	13263/13263	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Dec%202022%2011:01:24%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2022/12/Laatti-Telugu-Image.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2022/12/Laatti-Telugu-Image.jpg	(from https://ww2.5movierulz.pe/)
22:21:33	8219/8219	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Dec%202022%2009:28:04%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2022/12/Connect-Telugu-Poster.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2022/12/Connect-Telugu-Poster.jpg	(from https://ww2.5movierulz.pe/)
22:21:34	8033/8033	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jan%202023%2013:56:33%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2023/01/Unstoppable-Season-2-The-Bahubali-Part-2-Poster.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2023/01/Unstoppable-Season-2-The-Bahubali-Part-2-Poster.jpg	(from https://ww2.5movierulz.pe/)
22:21:34	8439/8439	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Dec%202022%2009:50:18%20GMT	https://ww2.5movierulz.pe/wp-content/uploads/2022/12/Dhamaka-Telugu-Poster.jpg	C:/My%20Web%20Sites/5movierulz.pe_/ww2.5movierulz.pe/wp-content/uploads/2022/12/Dhamaka-Telugu-Poster.jpg	(from https://ww2.5movierulz.pe/)
